Специализация,Количество вакансий
BI-разработчик,11
DevOps-инженер,178
ERP-программист,4
HTML-верстальщик,1
ML разработчик,21
MLOps-инженер,4
PR-менеджер,4
SEO-специалист,9
SMM-специалист,7
Scrum-мастер,11
UI/UX дизайнер,21
UX-тестировщик,1
Администратор баз данных,41
Администратор защиты,12
Администратор серверов,18
Аналитик 1С,16
Аналитик мобильных приложений,1
Аналитик по данным,62
Аналитик по обеспечению качества,4
Аналитик по персоналу,3
Аналитик технической поддержки,4
Антифрод аналитик,3
Архитектор баз данных,6
Архитектор программного обеспечения,68
Бизнес-аналитик,75
Бухгалтер,1
Бэкенд разработчик,672
Веб дизайнер,1
Веб-аналитик,4
Веб-разработчик,27
Генеральный директор,2
Графический дизайнер,4
Деврел,3
Десктоп разработчик,28
Дизайнер приложений,1
Директор по обеспечению качества,3
Директор по персоналу,2
Директор по продажам,2
Директор по продукту,3
Директор проекта,6
Директор технической поддержки,4
Зерокодер,1
Инженер встраиваемых систем,25
Инженер по автоматизации тестирования,151
Инженер по безопасности,105
Инженер по данным,50
Инженер по доступности сервисов,15
Инженер по обеспечению качества,52
Инженер по производительности,22
Инженер по ручному тестированию,110
Инженер технической поддержки,84
Исполнительный директор,2
Контекстолог,2
Копирайтер,8
Маркетинговый аналитик,2
Менеджер по контенту,5
Менеджер по маркетингу,23
Менеджер по найму,19
Менеджер по обеспечению качества,5
Менеджер по обслуживанию клиентов,2
Менеджер по персоналу,17
Менеджер по продажам,32
Менеджер по работе с клиентами,17
Менеджер по развитию HR-бренда,1
Менеджер продукта,42
Менеджер проекта,91
Менеджер сообщества,10
Менеджер технической поддержки,36
Модератор,1
Нарративный дизайнер,2
Офис менеджер,5
Пентестер,10
Программист 1С,58
Программный аналитик,6
Программный менеджер,2
Продуктовый аналитик,29
Продуктовый дизайнер,8
Разработчик баз данных,61
Разработчик игр,4
Разработчик мобильных приложений,109
Разработчик приложений,8
Релиз менеджер,9
Сетевой инженер,15
Системный администратор,92
Системный аналитик,407
Системный инженер,27
Создатель контента,1
Специалист по реверс-инжинирингу,6
Таргетолог,1
Технический директор,25
Технический писатель,22
Ученый по данным,16
Фронтенд разработчик,133
Фулстек разработчик,118
Художник компьютерной графики,1
